STT,Hán Tự,Pinyin,Tiếng Việt,,,Cau,pinyi,nghia tieng viet
195,停,tíng,Dừng,,,有问题可以停机。,yǒu wèntí kěyǐ tíngjī.,Có vấn đề thì được phép dừng máy.
196,暂停,zàntíng,Tạm dừng,,,所以暂停生产。,suǒyǐ zàntíng shēngchǎn.,Nên phải tạm dừng sản xuất.
197,生产,shēngchǎn,Sản xuất,,,所以暂停生产。,suǒyǐ zàntíng shēngchǎn.,Nên phải tạm dừng sản xuất.
198,测试,cèshì,Test / Kiểm tra thử,,,她测试屏幕测了三分钟。,tā cèshì píngmù cè le sān fēnzhōng.,Cô ấy test màn hình 3 phút.
199,检查,jiǎnchá,Kiểm tra,,,我去工厂检查。,wǒ qù gōngchǎng jiǎnchá.,Tôi đi nhà xưởng kiểm tra.
200,测量,cèliáng,Đo lường,,,他正在测量参数。,tā zhèngzài cèliáng cānshù.,Anh ấy đang đo lường thông số.
201,贴,tiē,Dán,,,贴标签。,tiē biāoqiān.,Dán tem.
202,锁,suǒ,"Khóa, siết",,,请锁紧螺丝。,qǐng suǒ jǐn luósī.,Hãy vặn chặt con ốc.
203,拧,níng,"Vặn, vít",,,拧螺丝时要小心。,nǐng luósī shí yào xiǎoxīn.,Khi vặn ốc vít phải cẩn thận.
204,插,chā,Cắm,,,接口插上了。,jiēkǒu chā shàng le.,Cổng đã được cắm vào rồi.
205,抽,chōu,Rút,,,请抽出来。,qǐng chōu chūlái.,Vui lòng rút ra.
206,压,yā,Ép,,,用机器压平这个零件。,yòng jīqì yā píng zhège língjiàn.,Dùng máy ép phẳng linh kiện này.
207,固定,gùdìng,Cố định,,,固定好。,gùdìng hǎo.,Cố định chắc.
208,连接,liánjiē,Kết nối,,,他不会连接这个设备。,tā bú huì liánjiē zhè ge shèbèi.,Anh ấy không biết kết nối thiết bị này.
209,修,xiū,Sửa chữa,,,机器快要修好了。,jīqì kuài yào xiū hǎo le.,Máy sắp sửa xong rồi.
210,调整,tiáozhěng,Điều chỉnh,,,注意温度不能调整太高。,zhùyì wēndù bù néng tiáozhěng tài gāo.,Chú ý nhiệt độ không được điều chỉnh cao quá.
211,改进,gǎijìn,Cải thiện / Nâng cấp,,,我会改进。,wǒ huì gǎijìn.,Tôi sẽ cải thiện.
212,培训,péixùn,Đào tạo,,,你还没培训。,nǐ hái méi péixùn.,Bạn chưa được đào tạo.
213,包装,bāozhuāng,Đóng gói,,,工人包装了一次产品。,gōngrén bāozhuāng le yí cì chǎnpǐn.,Công nhân đóng gói sản phẩm 1 lần.
214,清洁,qīngjié,Vệ sinh / Làm sạch,,,他清洁了五分钟产品。,tā qīngjié le wǔ fēnzhōng chǎnpǐn.,Công nhân ấy vệ sinh sản phẩm 5 phút.
215,充电,chōngdiàn,Sạc điện,,,我的手机正在充电。,wǒ de shǒujī zhèngzài chōngdiàn.,Điện thoại của tôi đang sạc.
216,截屏,jiépíng,Chụp ảnh màn hình,,,遇到异常请截屏。,yùdào yìcháng qǐng jiépíng.,Gặp bất thường vui lòng chụp màn hình.
217,拿,ná,Lấy,,,他去仓库拿物料。,tā qù cāngkù ná wùliào.,Anh ấy đi nhà kho lấy vật liệu.
218,搬,bān,"Bê, nhấc",,,工人搬一下箱子。,gōngrén bān yíxià xiāngzi.,Công nhân nhấc thùng một chút.
219,放,fàng,Đặt / Để,,,电池放上了。,diànchí fàng shàng le.,Pin đã được đặt vào rồi.
220,核对,héduì,Đối chiếu,,,请核对订单数量。,qǐng héduì dìngdān shùliàng.,Xin hãy đối chiếu số lượng đơn hàng.
221,比较,bǐjiào,So sánh,,,比较这两个产品。,bǐjiào zhè liǎng gè chǎnpǐn.,So sánh hai sản phẩm này.
222,重复,chóngfù,Lặp lại,,,不要重复操作。,búyào chóngfù cāozuò.,Đừng lặp lại thao tác.
223,发生,fāshēng,Xảy ra,,,机台发生事故了。,jītái fāshēng shìgù le.,Máy móc xảy ra sự cố rồi.
224,完成,wánchéng,Hoàn thành,,,我们要完成订单。,wǒmen yào wánchéng dìngdān.,Chúng ta phải hoàn thành đơn hàng.
225,翻译,fānyì,Phiên dịch,,,帮我翻译成中文。,bāng wǒ fānyì chéng zhōngwén.,Giúp tôi phiên dịch thành tiếng Trung.
226,选择,xuǎnzé,Chọn lựa,,,型号选错了。,xínghào xuǎn cuò le.,Model chọn sai rồi.
227,打卡,dǎkǎ,Quẹt thẻ,,,每天上班都要打卡。,měitiān shàngbān dōu yào dǎkǎ.,Hàng ngày đi làm đều cần quẹt thẻ.
228,去,qù,Đi đến,,,明天我去北宁。,míngtiān wǒ qù běiníng.,Ngày mai tôi đi Bắc Ninh.
229,来,lái,Đi tới (hướng về),,,昨天她来了。,zuótiān tā lái le.,Hôm qua cô ấy đến rồi.
230,走,zǒu,Đi bộ,,,我们走路回家。,wǒmen zǒulù huíjiā.,Chúng ta đi bộ về nhà.
231,进,jìn,Vào,,,请进。,qǐng jìn.,Mời vào.
232,出发,chūfā,Xuất phát,,,我们快要出发了。,wǒmen kuài yào chūfā le.,Chúng tôi sắp xuất phát rồi.
233,站,zhàn,Đứng,,,站起来。,zhàn qǐlái.,Đứng dậy.
234,坐,zuò,Ngồi,,,请坐。,qǐng zuò.,Mời ngồi.
235,看,kàn,Nhìn,,,我看了一次说明书。,wǒ kàn le yí cì shuōmíngshū.,Tôi xem sách hướng dẫn 1 lần.
236,见,jiàn,Thấy,,,我没见他。,wǒ méi jiàn tā.,Tôi không thấy anh ấy.
237,等,děng,Đợi / Chờ,,,你正在等谁？,nǐ zhèngzài děng shuí?,Bạn đang đợi ai thế?
238,带,dài,Mang theo,,,请带上你的工具。,qǐng dài shàng nǐ de gōngjù.,Xin hãy mang theo dụng cụ của bạn.
239,回答,huídá,Trả lời,,,但是你不回答。,dànshì nǐ bù huídá.,Nhưng bạn không trả lời.
240,想,xiǎng,Muốn / Nghĩ / Nhớ,,,我想去上班。,wǒ xiǎng qù shàngbān.,Tôi muốn đi làm.
241,要,yào,Cần / Phải / Muốn,,,每天上班都要打卡。,měitiān shàngbān dōu yào dǎkǎ.,Hàng ngày đi làm đều cần quẹt thẻ.
242,会,huì,Biết (kỹ năng) / Sẽ,,,我会改进。,wǒ huì gǎijìn.,Tôi sẽ cải thiện.
243,能,néng,Có thể (khả năng),,,现在不能停机。,xiànzài bù néng tíngjī.,Bây giờ không thể dừng máy.
244,可以,kěyǐ,Có thể (được phép),,,可以按照流程做。,kěyǐ ànzhào liúchéng zuò.,Có thể làm theo quy trình.
245,好,hǎo,Tốt / Xong,,,你做好了。,nǐ zuò hǎo le.,Bạn làm tốt rồi.
246,对,duì,Đúng,,,操作做对了。,cāozuò zuò duì le.,Thao tác làm đúng rồi.
247,错,cuò,Sai,,,你锁错方向了。,nǐ suǒ cuò fāngxiàng le.,Bạn vặn sai hướng rồi.
248,正确,zhèngquè,Chính xác,,,错误改成正确了。,cuòwù gǎi chéng zhèngquè le.,Lỗi này đã sửa thành đúng rồi.
249,紧,jǐn,Chặt,,,请锁紧螺丝。,qǐng suǒ jǐn luósī.,Hãy vặn chặt con ốc.
250,松,sōng,Lỏng,,,这个螺丝有点松。,zhège luósī yǒudiǎn sōng.,Con ốc vít này hơi lỏng.
251,够,gòu,Đủ,,,料不够。,liào bú gòu.,Liệu không đủ.
252,缺,quē,Thiếu,,,仓库缺物料。,cāngkù quē wùliào.,Nhà kho thiếu vật tư.
253,快,kuài,Nhanh,,,老板说很快。,lǎobǎn shuō hěn kuài.,Sếp nói nhanh.
254,慢,màn,Chậm,,,请老板慢一点。,qǐng lǎobǎn màn yìdiǎn.,Xin sếp nói chậm một chút.
255,新,xīn,Mới,,,这个机器是新的。,zhè ge jīqì shì xīn de.,Cái máy này là máy mới.
256,旧,jiù,Cũ,,,这个设备很旧。,zhège shèbèi hěn jiù.,Thiết bị này rất cũ.
257,难,nán,Khó,,,这个工作很难。,zhège gōngzuò hěn nán.,Công việc này rất khó.
258,简单,jiǎndān,Đơn giản,,,我会修简单设备。,wǒ huì xiū jiǎndān shèbèi.,Tôi biết sửa thiết bị đơn giản.
259,干净,gānjìng,Sạch sẽ,,,机器上很干净。,jīqì shàng hěn gānjìng.,Phía trên máy rất sạch.
260,脏,zàng,Bẩn,,,机器下很脏。,jīqì xià hěn zāng.,Dưới máy rất bẩn.
261,自由,zìyóu,Tự do,,,周末我很自由。,zhōumò wǒ hěn zìyóu.,Cuối tuần tôi rất tự do.
262,一样,yīyàng,Giống nhau,,,机台和机台的参数一样。,jītái hé jītái de cānshù yíyàng.,Thông số của máy này và máy kia giống nhau.
263,不同,bùtóng,Khác nhau,,,这两个型号不同。,zhè liǎng gè xínghào bùtóng.,Hai model này khác nhau.
264,区别,qūbié,Sự phân biệt,,,这两个有什么区别？,zhè liǎng gè yǒu shénme qūbié?,Hai cái này có sự phân biệt/khác biệt gì?
265,认真,rènzhēn,Chăm chỉ / Nghiêm túc,,,他工作很认真。,tā gōngzuò hěn rènzhēn.,Anh ấy làm việc rất chăm chỉ/nghiêm túc.
266,个,gè,Cái / Chiếc / Người,,,一个苹果。,yí gè píngguǒ.,Một quả táo.
267,台,tái,Cỗ / Chiếc (máy móc),,,两台机器。,liǎng tái jīqì.,Hai cái máy.
268,把,bǎ,"Chiếc, cái (có tay cầm)",,,一把刀子。,yì bǎ dāozi.,Một con dao.
269,件,jiàn,"Kiện / Chiếc (áo, việc)",,,一件事情。,yí jiàn shìqing.,Một việc.
270,遍,biàn,Lượt,,,请你再说一遍。,qǐng nǐ zài shuō yí biàn.,Xin bạn nói lại 1 lượt.
271,越南盾,yuènándùn,Việt Nam Đồng,,,这个一万越南盾。,zhè ge yí wàn yuènándùn.,Cái này 10 nghìn Việt Nam đồng.
272,人民币,rénmínbì,Nhân dân tệ,,,这个一百人民币。,zhège yībǎi rénmínbì.,Cái này 100 Nhân dân tệ.
273,美元,měiyuán,Đô la Mỹ,,,这个十美元。,zhège shí měiyuán.,Cái này 10 Đô la Mỹ.
274,自己,zìjǐ,Tự mình / Bản thân,,,我自己做。,wǒ zìjǐ zuò.,Tôi tự làm.
275,还是,háishi,Hay là (câu hỏi lựa chọn),,,你读书还是工作？,nǐ dúshū háishì gōngzuò?,Bạn đi học hay đi làm?
276,但是,dànshì,Nhưng / Nhưng mà,,,我听到但是我听不懂。,wǒ tīng dào dànshì wǒ tīng bù dǒng.,Tôi nghe thấy nhưng nghe không hiểu.
277,所以,suǒyǐ,Cho nên / Vì vậy,,,料不够所以暂停生产。,liào bú gòu suǒyǐ zàntíng shēngchǎn.,Liệu không đủ nên phải tạm dừng sản xuất.
278,东西,dōngxi,Đồ vật / Thứ,,,那个东西是谁的？,nà ge dōngxi shì shuí de?,Cái đồ vật kia của ai?
279,因为,yīnwéi,Bởi vì,,,因为零件坏了所以要换新的。,yīn wéi líng jiàn huài le suǒ yǐ yào huàn xīn de.,Vì linh kiện hỏng nên phải thay cái mới.
280,所以,suǒyǐ,"Cho nên, nên",,,因为按钮坏了所以机器不能启动。,yīn wéi àn niǔ huài le suǒ yǐ jī qì bù néng qǐ dòng.,Vì nút bấm hỏng nên máy không thể khởi động.
281,稳定,wěndìng,Ổn định,,,因为机器参数不稳定所以我重新调整设置。,yīn wéi jī qì cān shù bù wěn dìng suǒ yǐ wǒ chóng xīn tiáo zhěng shè zhì.,Vì thông số máy không ổn định nên tôi đã điều chỉnh lại cài đặt.
282,重新,chóngxīn,"Lần nữa, lại lần nữa",,,因为上次的问题还没解决所以今天重新讨论一次。,yīn wéi shàng cì de wèn tí hái méi jiě jué suǒ yǐ jīn tiān chóng xīn tǎo lùn yí cì.,Vì vấn đề lần trước chưa được giải quyết nên hôm nay thảo luận lại 1 lần nữa.
283,设置,shèzhì,Cài đặt,,,因为机器参数不稳定所以我重新调整设置。,yīn wéi jī qì cān shù bù wěn dìng suǒ yǐ wǒ chóng xīn tiáo zhěng shè zhì.,Vì thông số máy không ổn định nên tôi đã điều chỉnh lại cài đặt.
284,解决,jiějué,Giải quyết,,,因为上次的问题还没解决所以今天重新讨论一次。,yīn wéi shàng cì de wèn tí hái méi jiě jué suǒ yǐ jīn tiān chóng xīn tǎo lùn yí cì.,Vì vấn đề lần trước chưa được giải quyết nên hôm nay thảo luận lại 1 lần nữa.
285,上次,shàngcì,Lần trước,,,因为上次的问题还没解决所以今天重新讨论一次。,yīn wéi shàng cì de wèn tí hái méi jiě jué suǒ yǐ jīn tiān chóng xīn tǎo lùn yí cì.,Vì vấn đề lần trước chưa được giải quyết nên hôm nay thảo luận lại 1 lần nữa.
286,下次,xiàcì,Lần sau,,,对不起，下次我不会这样。,"duì bu qǐ, xià cì wǒ bú huì zhè yàng.",Xin lỗi lần sau tôi không thế nữa.
287,把,bǎ,Trợ từ (câu chữ 把),,,我把书放在桌子上。,wǒ bǎ shū fàng zài zhuō zi shàng.,Tôi đặt sách lên bàn.
288,点胶,diǎnjiāo,Điểm keo,,,因为要固定零件所以要先点胶。,yīn wéi yào gù dìng líng jiàn suǒ yǐ yào xiān diǎn jiāo.,Vì cần cố định linh kiện nên cần điểm keo trước.
289,点胶机,diǎnjiāojī,Máy điểm keo,FALSE,点胶机,这台点胶机正在运行。,zhè tái diǎnjiāojī zhèngzài yùnxíng.,Máy điểm keo này đang vận hành.
290,下载,xiàzǎi,Tải xuống,FALSE,下载,请下载这个文件。,qǐng xiàzǎi zhè ge wénjiàn.,Hãy tải tài liệu này xuống.
291,插,chā,Cắm,,,他把插头插在插座。,tā bǎ chā tóu chā zài chā zuò.,Anh cắm phích cắm vào ổ điện đi.
292,抽,chōu,Rút,FALSE,抽,请把插头抽出来。,qǐng bǎ chātóu chōu chūlái.,Hãy rút phích cắm ra.
293,椅子,yǐzi,Ghế,,,你把剪刀放在椅子上。,nǐ bǎ jiǎn dāo fàng zài yǐ zi shang.,Bạn mang cái kéo để lên ghế đi.
294,剪刀,jiǎndāo,Kéo,,,你把剪刀放在椅子上。,nǐ bǎ jiǎn dāo fàng zài yǐ zi shang.,Bạn mang cái kéo để lên ghế đi.
295,买,mǎi,Mua,FALSE,买,我想买一台新机器。,wǒ xiǎng mǎi yì tái xīn jīqì.,Tôi muốn mua một cái máy mới.
296,卖,mài,Bán,,,我把这个手机卖给你了。,wǒ bǎ zhè ge shǒu jī mài gěi nǐ le.,Tôi bán cái điện thoại này cho bạn rồi.
297,买卖,mǎimài,Buôn bán,FALSE,买卖,我们公司做电子买卖。,wǒmen gōngsī zuò diànzǐ mǎimài.,Công ty chúng tôi buôn bán đồ điện tử.
298,部门,bùmén,Bộ phận,,,我们把原料交给生产部门了。,wǒ men bǎ yuán liào jiāo gěi shēng chǎn bù mén le.,Chúng tôi đã bàn giao nguyên liệu cho bộ phận sản xuất.
299,生产,shēngchǎn,Sản xuất,,,我们把原料交给生产部门了。,wǒ men bǎ yuán liào jiāo gěi shēng chǎn bù mén le.,Chúng tôi đã bàn giao nguyên liệu cho bộ phận sản xuất.
300,报价,bàojià,Báo giá,FALSE,报价,请给客户发报价。,qǐng gěi kèhù fā bàojià.,Hãy gửi báo giá cho khách hàng.
301,询价,xúnjià,Hỏi giá,FALSE,询价,客户发来询价了。,kèhù fā lái xúnjià le.,Khách hàng gửi hỏi giá đến rồi.
302,返回,fǎnhuí,Phản hồi,FALSE,返回,请及时返回异常情况。,qǐng jíshí fǎnhuí yìcháng qíngkuàng.,Hãy phản hồi tình huống bất thường kịp thời.
303,群,qún,Nhóm,FALSE,群,把情况报告发到群。,bǎ qíngkuàng bàogào fā dào qún.,Hãy gửi báo cáo tình hình vào nhóm.
304,微信群,wēixìn qún,Nhóm wechat,FALSE,微信群,老板在微信群里通知了。,lǎobǎn zài wēixìn qún lǐ tōngzhī le.,Sếp đã thông báo trong nhóm wechat rồi.
305,翻译,fānyì,Phiên dịch,,,帮我把这句话翻译成中文。,bāng wǒ bǎ zhè ge jù huà fān yì chéng zhōng wén.,Giúp tôi dịch câu này sang tiếng trung.
306,英文/英语,yīngwén / yīngyǔ,Tiếng Anh,FALSE,英文/英语,报告用中文写还是英文写？,bàogào yòng zhōngwén xiě háishì yīngwén xiě?,Báo cáo viết bằng tiếng Trung hay tiếng Anh?
307,越南语,yuènányǔ,Tiếng Việt,FALSE,越南语,帮我把它翻译成越南语。,bāng wǒ bǎ tā fānyì chéng yuènányǔ.,Giúp tôi dịch nó sang tiếng Việt.
308,链接,liànjiē,Kết nối,,,这个手机链接电脑了吗？,zhè ge shǒujī liànjiē diànnǎo le ma?,Cái điện thoại kết nối với cái máy tính chưa?
309,电源,diànyuán,Nguồn điện,,,你插电源了吗？,nǐ chā diànyuán le ma?,Bạn đã cắm nguồn điện chưa?
310,按,àn,Ấn,,,这个零件用手拧还是用手按？,zhè ge língjiàn yòng shǒu nǐng háishì yòng shǒu àn?,Linh kiện này dùng tay vặn hay dùng tay ấn?
311,按钮,ànniǔ,Nút bấm,,,机器的按钮坏了。,jīqì de ànniǔ huài le.,Nút bấm của máy hỏng rồi.
312,还是,háishì,Hay là (lựa chọn),,,这个问题是硬件问题还是软件问题？,zhè ge wèntí shì yìngjiàn wèntí háishì ruǎnjiàn wèntí?,Vấn đề này là lỗi phần cứng hay phần mềm?
313,故障,gùzhàng,"Lỗi, trục trặc, sự cố",,,机器发生什么故障了？,jīqì fāshēng shénme gùzhàng le?,Máy gặp vấn đề (sự cố) gì?
314,手工,shǒugōng,"Bằng tay, thủ công",,,你用手工模式还是自动模式？,nǐ yòng shǒugōng móshì háishì zìdòng móshì?,Bạn dùng chế độ tay hay chế độ tự động?
315,自动,zìdòng,"Tự động, auto",,,你用手工模式还是自动模式？,nǐ yòng shǒugōng móshì háishì zìdòng móshì?,Bạn dùng chế độ tay hay chế độ tự động?
316,模式,móshì,Chế độ,,,你用手工模式还是自动模式？,nǐ yòng shǒugōng móshì háishì zìdòng móshì?,Bạn dùng chế độ tay hay chế độ tự động?
317,不良品,bùliángpǐn,Hàng lỗi / Hàng NG,,,不良品放这边还是放那边？,bùliángpǐn fàng zhèbiān háishì fàng nàbiān?,Hàng lỗi để ở đây hay để bên kia?
318,写,xiě,Viết,,,报告用中文写还是英文写？,bàogào yòng zhōngwén xiě háishì yīngwén xiě?,Báo cáo viết bằng tiếng trung hay tiếng anh?
319,读,dú,Đọc,FALSE,读,我看不懂，请读给我听。,"wǒ kàn bù dǒng, qǐng dú gěi wǒ tīng.","Tôi xem không hiểu, hãy đọc cho tôi nghe."
320,谁,shuí,Ai,,,谁在修这个机器？,shuí zài xiū zhè ge jīqì?,Ai đang sửa máy này?
321,发现,fāxiàn,Phát hiện,,,谁发现这个问题？,shuí fāxiàn zhè ge wèntí?,Ai phát hiện ra vấn đề này?
322,保养,bǎoyǎng,Bảo dưỡng,,,设备什么时候保养？,shèbèi shénme shíhòu bǎoyǎng?,Khi nào thiết bị được bảo dưỡng?
323,负责人,fùzérén,Người phụ trách,,,谁是这个项目的负责人？,shuí shì zhè ge xiàngmù de fùzérén?,Ai là người phụ trách dự án này?
324,项目,xiàngmù,Dự án,,,这个项目什么时候开始？,zhè ge xiàngmù shénme shíhòu kāishǐ?,Dự án này khi nào bắt đầu?
325,管理,guǎnlǐ,Quản lý,FALSE,管理,管理会安排工作。,guǎnlǐ huì ānpái gōngzuò.,Quản lý biết sắp xếp công việc.
326,参加,cānjiā,Tham gia,,,谁参加今天的会议？,shuí cānjiā jīntiān de huìyì?,Ai tham gia cuộc họp hôm nay?
327,会议,huìyì,Cuộc họp,,,谁参加今天的会议？,shuí cānjiā jīntiān de huìyì?,Ai tham gia cuộc họp hôm nay?
328,保护膜,bǎohùmó,Màng bảo vệ,,,谁撕保护膜？,shuí sī bǎohùmó?,Ai bóc màng bảo vệ?
329,保护,bǎohù,Bảo vệ,,,谁撕保护膜？,shuí sī bǎohùmó?,Ai bóc màng bảo vệ?
330,撕,sī,"Bóc, xé",,,谁撕保护膜？,shuí sī bǎohùmó?,Ai bóc màng bảo vệ?
331,封闭,fēngbì,Niêm phong,FALSE,封闭,这个箱子已经封闭了。,zhè ge xiāngzi yǐjīng fēngbì le.,Cái thùng này đã được niêm phong rồi.
332,会议室,huìyì shì,Phòng họp,FALSE,会议室,经理在会议室里开会。,jīnglǐ zài huìyì shì lǐ kāihuì.,Giám đốc đang họp ở phòng họp.
333,工具室,gōngjù shì,Phòng công cụ,FALSE,工具室,他去工具室拿扳手。,tā qù gōngjù shì ná bānshǒu.,Anh ấy đi phòng công cụ lấy cờ lê.
334,状态,zhuàngtài,Trạng thái,,,机器现在是什么状态？,jīqì xiànzài shì shénme zhuàngtài?,Máy bây giờ ở trạng thái gì?
335,讨论,tǎolùn,Thảo luận,,,今天开会讨论什么？,jīntiān kāihuì tǎolùn shénme?,Hôm nay họp thảo luận gì?
336,文件,wénjiàn,Tài liệu,,,你在看什么文件？,nǐ zài kàn shénme wénjiàn?,Bạn đang xem tài liệu gì?
337,要求,yāoqiú,Yêu cầu,,,客户有什么要求？,kèhù yǒu shénme yāoqiú?,Khách hàng có yêu cầu gì?
338,什么时候,shénme shíhòu,Khi nào,,,你什么时候修这个机器？,nǐ shénme shíhòu xiū zhè ge jīqì?,Khi nào bạn sửa cái máy này?
339,开始,kāishǐ,Bắt đầu,,,什么时候开始开会？,shénme shíhòu kāishǐ kāihuì?,Khi nào chúng ta bắt đầu họp?
340,交,jiāo,Nộp / Giao,,,你什么时候交报告？,nǐ shénme shíhòu jiāo bàogào?,Khi nào bạn nộp báo cáo?
341,收到,shōudào,Nhận được,,,什么时候收到客户的返回？,shénme shíhòu shōudào kèhù de fǎnhuí?,Khi nào nhận được phản hồi của khách hàng?
342,准备,zhǔnbèi,Chuẩn bị,,,什么时候技术报告准备好？,shénme shíhòu jìshù bàogào zhǔnbèi hǎo?,Khi nào báo cáo kỹ thuật chuẩn bị xong?
343,技术,jìshù,Kỹ thuật,,,什么时候技术报告准备好？,shénme shíhòu jìshù bàogào zhǔnbèi hǎo?,Khi nào báo cáo kỹ thuật chuẩn bị xong?
344,故障点,gùzhàng diǎn,Điểm lỗi,,,机器的故障点在哪里？,jīqì de gùzhàng diǎn zài nǎli?,Điểm lỗi của máy ở đâu?
345,怎么,zěnme,Thế nào / Ra sao,,,你怎么运行这个机器？,nǐ zěnme yùnxíng zhè ge jīqì?,Bạn vận hành máy này như thế nào?
346,报警,bàojǐng,"Báo lỗi, báo động",,,机器报警了，我们怎么处理？,"jīqì bàojǐng le, wǒmen zěnme chǔlǐ?","Máy báo lỗi rồi, chúng ta xử lí thế nào?"
347,处理,chǔlǐ,Xử lý,,,机器报警了，我们怎么处理？,"jīqì bàojǐng le, wǒmen zěnme chǔlǐ?","Máy báo lỗi rồi, chúng ta xử lí thế nào?"
348,解释,jiěshì,Giải thích,,,这个问题怎么跟客户解释？,zhè ge wèntí zěnme gēn kèhù jiěshì?,Giải thích vấn đề này với khách hàng thế nào?
349,系统,xìtǒng,Hệ thống,,,这个系统怎么用？,zhè ge xìtǒng zěnme yòng?,Hệ thống này dùng thế nào?
350,启动,qǐdòng,Khởi động,,,机器不能启动。,jīqì bù néng qǐdòng.,Máy không thể khởi động.
351,插座,chāzuò,Ổ cắm điện,,,他把插头插在插座。,tā bǎ chātóu chā zài chāzuò.,Anh cắm phích cắm vào ổ điện đi.
352,交给,jiāogěi,"Bàn giao, giao cho",,,我们把原料交给生产部门了。,wǒmen bǎ yuánliào jiāo gěi shēngchǎn bùmén le.,Chúng tôi đã bàn giao nguyên liệu cho bộ phận sản xuất.
353,板子,bǎnzi,"Tấm ván, tấm nhôm",,,他把板子切成两块。,tā bǎ bǎnzi qiē chéng liǎng kuài.,Anh ấy cắt tấm nhôm thành hai miếng.
354,切,qiē,Cắt,,,他把板子切成两块。,tā bǎ bǎnzi qiē chéng liǎng kuài.,Anh ấy cắt tấm nhôm thành hai miếng.
355,块,kuài,"Cục, khối, miếng",,,他把板子切成两块。,tā bǎ bǎnzi qiē chéng liǎng kuài.,Anh ấy cắt tấm nhôm thành hai miếng.
356,打开,dǎkāi,Mở ra,,,请把机器打开。,qǐng bǎ jīqì dǎkāi.,Hãy bật máy lên.
357,中文,zhōngwén,Tiếng Trung,,,帮我翻译成中文。,bāng wǒ fānyì chéng zhōngwén.,Giúp tôi dịch sang tiếng Trung.
358,产量,chǎnliàng,Sản lượng,,,今天的产量比昨天的高。,jīntiān de chǎnliàng bǐ zuótiān de gāo.,Sản lượng hôm nay cao hơn hôm qua.
359,量产,liàngchǎn,Sản xuất hàng loạt (MP),,,准备量产。,zhǔnbèi liàngchǎn.,Chuẩn bị sản xuất hàng loạt.
360,速度,sùdù,Tốc độ,,,机器的速度没有那个稳定。,jīqì de sùdù méi yǒu nà gè wěndìng.,Tốc độ của máy không ổn định bằng máy kia.
361,质量,zhìliàng,Chất lượng,,,只有质量好产品才可以通过。,zhǐyǒu zhìliàng hǎo chǎnpǐn cái kěyǐ tōngguò.,Chỉ có chất lượng tốt thì sản phẩm mới được thông qua.
362,提高,tígāo,"Nâng cao, tăng",,,产量就可能提高。,chǎnliàng jiù kě néng tígāo.,Sản lượng có thể tăng.
363,下降,xiàjiàng,Giảm xuống,,,速度下降。,sùdù xiàjiàng.,Tốc độ giảm xuống.
364,方案,fāngàn,Phương án,,,客户不同意这个方案。,kèhù bù tóngyì zhè ge fāngàn.,Khách hàng không đồng ý phương án này.
365,专案,zhuānàn,Chuyên án,,,这个专案什么时候开始？,zhè ge zhuānàn shénme shíhòu kāishǐ?,Chuyên án này khi nào bắt đầu?
366,语法,yǔfǎ,Ngữ pháp,,,汉语语法。,hànyǔ yǔfǎ.,Ngữ pháp tiếng Hán.
367,改变,gǎibiàn,Thay đổi,,,如果客户要求改变。,rúguǒ kèhù yāoqiú gǎibiàn.,Nếu khách hàng yêu cầu thay đổi.
368,步骤,bùzhòu,"Bước, trình tự",,,生产有很多步骤。,shēngchǎn yǒu hěn duō bùzhòu.,Sản xuất có nhiều bước.
369,首先,shǒuxiān,Đầu tiên,,,首先我们要检查。,shǒuxiān wǒmen yào jiǎnchá.,Đầu tiên chúng ta phải kiểm tra.
